gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000001504	384	499	359	301	181	138	123	101
ENSMUSG00000001506	34043	34356	26567	41737	8869	6869	2147	3385
ENSMUSG00000001507	1104	1105	912	1408	661	432	430	643
ENSMUSG00000001508	718	979	795	1010	3568	1598	3544	4673
ENSMUSG00000001510	0	2	1	8	0	0	0	1
ENSMUSG00000001517	1220	1084	1103	1425	82	68	33	59
ENSMUSG00000001518	477	567	403	643	344	216	266	398
ENSMUSG00000001520	41	82	46	81	96	56	93	114
ENSMUSG00000001521	426	512	437	487	434	257	334	431
ENSMUSG00000001524	196	213	166	214	294	154	198	250
ENSMUSG00000001525	19566	19610	20026	24021	3669	2519	1859	3115
ENSMUSG00000001542	227	275	204	201	780	374	610	1082
ENSMUSG00000001552	4784	5756	4486	7201	8376	4495	6031	8889
ENSMUSG00000001555	2452	2556	2391	3291	775	493	333	547
ENSMUSG00000001558	18	17	8	10	17	15	11	14
ENSMUSG00000001566	0	0	0	0	0	0	0	0
ENSMUSG00000001569	711	786	664	810	847	517	577	792
ENSMUSG00000001576	2409	2270	2036	2970	1656	909	1033	1446
ENSMUSG00000001583	24	2	4	2	2	7	5	9
ENSMUSG00000001588	91	65	56	89	47	49	54	54
ENSMUSG00000001604	667	1002	766	1017	2137	958	1809	2365
ENSMUSG00000001622	0	0	0	0	0	0	0	0
ENSMUSG00000001627	1221	1482	1228	1146	1518	888	849	1589
ENSMUSG00000001630	782	912	767	836	725	491	448	701
ENSMUSG00000001632	1054	1118	882	1241	887	461	604	837
ENSMUSG00000001642	414	499	365	536	1749	798	1371	1382
ENSMUSG00000001655	0	0	0	0	0	0	0	0
ENSMUSG00000001656	0	1	0	0	0	0	0	0
ENSMUSG00000001657	2	0	1	1	1	3	1	1
ENSMUSG00000001661	0	2	1	3	1	2	1	1
ENSMUSG00000001663	41	53	42	114	505	205	186	325
ENSMUSG00000001665	39	30	16	36	121	40	59	95
ENSMUSG00000001666	86	101	91	123	343	139	283	298
ENSMUSG00000001670	3	0	0	3	29	12	32	15
ENSMUSG00000001672	13	9	3	8	0	2	6	2
ENSMUSG00000001674	355	456	371	456	400	245	284	426
ENSMUSG00000001687	1443	1788	1380	1715	2817	1537	1970	2845
ENSMUSG00000001700	839	1004	855	999	673	435	430	734
ENSMUSG00000001707	352	374	382	353	271	250	277	459
ENSMUSG00000001729	8184	9491	8051	11116	6451	3452	3951	6138
ENSMUSG00000001739	253	129	128	321	218	135	155	212
ENSMUSG00000001741	202	152	154	257	397	289	236	297
ENSMUSG00000001750	508	585	443	734	572	266	436	464
ENSMUSG00000001751	224	245	243	329	412	230	282	328
ENSMUSG00000001755	470	562	456	670	462	238	333	493
ENSMUSG00000001761	1240	1273	1037	1694	718	356	303	594
ENSMUSG00000001763	50	40	25	48	49	26	42	108
ENSMUSG00000001767	735	937	786	826	1067	633	727	1103
ENSMUSG00000001768	1140	1187	1039	1426	1184	936	692	987
ENSMUSG00000001773	5	4	4	5	6	1	9	23
ENSMUSG00000001774	1338	1627	1386	1292	2629	1353	1385	1802
ENSMUSG00000001783	2235	2505	2149	2932	2205	1198	1560	2162
ENSMUSG00000001785	771	872	777	932	760	418	540	775
ENSMUSG00000001786	341	416	302	451	533	291	348	483
